#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
gush out,솟아나다, 뿜어나오다, 솟아나오다, 솟다
gusher,n. 뿜어나오는 것, 솟아나오는 것
guslar,n. 구슬랴르
gusli,n. 구슬리
gusset,n. 갑옷의 겨드랑이 밑에 댄 이음쇠의 한 조각, 삼각천, 이음판
gust,n. 일진의 바람; 돌발 (비 바람등의); 격발, 감정의 폭발
gustation,n. 맛보기
gusting,n. 강풍이 붐, 돌발적임
gusto,n. 좋아함, 맛
gusty,adj. 돌풍이 자주 부는, 터질 것 같이 활기 있는
gut,n. 장, 창자; 속, 내용물; 바이올린이나 테니스 라켓 등의 장선; v. 내장을 빼내다, 주요 부분을 발췌하다, 주요 요점을 발췌하다
Gutenberg,n. 요하네스 구텐베르그 (1400-1468), 독일의 인쇄자, 동판의 발명자
gutlessness,n. 용기 없슴, 겁이 많음
guts,n. 용기, 힘, 결단; 내장
gutsy,adj. (속어) 용감한, 대담한, 원기왕성한
gutta percha,구타페르카
gutter,n. 홈통, 시궁창, 하수 도랑; v. ...에 물받이를 달다, 홈이 생기다
gutter down,v. 촛농이 흐르다
gutter plough,쟁기
gutter press,선정적인 저급한 신문
gutterchild,n. 부랑아
guttered candle,n. 촛농
gutterman,n. 길가의 싸구려 장수
guttersnipe,n. 집 없는 아이
guttle,v. 게걸스럽게 먹다
guttler,n. 게걸장이
guttural,n. 후두음, 후두음문자; adj. 목구멍의, 목쉰
guv,n. 우두머리
guvnor,n. 우두머리
guy,n. 친구 (속어); 당김 줄, 버팀 밧줄; 돛; v. 웃음거리로 삼다, 가이로 죄다
guzzle,n. 목구멍; v. 폭음하다, 폭식하다
guzzler,n. 목구멍가
GWHS,1차 세계대전의 역사를 촉진하기 위해 설립된 국제 기구( 미국 캘리포니아에 근거를 둔)$GWHS (Great War Historical Society)
GWU,죠지워싱턴 대학, 미국의 워싱턴에 있는 사립대학#GWU (George Washington University)
gyle,n. 엿기름 물
gym,n. 체육관; 체육
gym shoes,운동화
gymkhana,n. 경기장
gymnasium,n. 체육관
gymnast,n. 체조선수; 체조를 가리키는 사람; 운동선수
gymnastic,adj. 체조의
gymnastics,n. 근육의 힘과 능력을 키우는 운동; 체조
gynaecological,adj. 부인과학의
gynaecologist,n. 부인과 의사
gynaecology,n. 부인과학
gynecological,adj. 부인학의
gynecologist,n. 부인과 의사
gynecology,n. 부인과학
gyp,n. 사기꾼, 활력, 고용인; v. 속이다
gypseous,adj. 석고의, 석고질의
gypsous,adj. 석고의, 석고질의
gypsum,n. 석고
Gypsy,adj. 집시의; n. 집시, 인도에서 유래한 유랑인
gyrate,v. 선회하다, 선전하다
gyration,n. 선전
gyratory,adj. 선회의
gyre,n. 선전, 나선형
gyro,n. 자이로 컴파스; 자이로 스콥, 항해장치의 안정성을 유지하는 장치; 구운 양고기를 넣은 피타빵 샌드위치(그리스 음식)
gyrocompass,n. 회전 나침의
gyropilot,n. 자동조종 장치
gyroplane,n. 오토자이로
gyroscope,n. 자이로스코우프
gyroscopic,adj. 회전의, 자이로스코프의
gyrostat,n. 자이로스코우프의 일
gyve,n. 차꼬; v. ...에 차꼬를 채우다, ...에 족쇄를 채우다
h,n. 영어 알파벳의 여덟번째 글자
h hour,공격 개시 시각
h-bomb,수폭PY'e026A;t0283;b0252;m
habanera,n. 하바네라
habdabs,n. 초조
habeas corpus,인신 보호 영장Phabeas corpus || he026A;b026A;0259;sk0254;rp0259;s /-'k0254;02D0;p-
habeas corpus act,인신 보호령
haberdasher,n. 잡화상인, 옷에 관련된 작은 잡화를 파는 사람(영국); 남자의류나 장신구를 파는 사람
haberdashery,n. 남성용 옷과 악세서리를 파는 가게
habergeon,n. 소매 없는 사슬 미늘
habile,adj. 잘하는, 알맞은
habiliment,n. 의복
habiliments,n. 의복
habilitate,v. 임관 자격을 얻다, 가동 자금을 주다
habit,n. 버릇, 습관
habitable,adj. 거주할 수 있는
habitant,n. 주민
habitat,n. 주거지; 환경
habitation,n. 거주지를 차지함; 거주, 주거
habitual,adj. 습관적인, 일상적인
habitual practice,n. 버릇
habitual user,n. 상용자
habitually,adv. 습관적으로, 대개, 규칙적으로
habituate,v. 길들이다
habitude,n. 습관
habitue,n. 단골 손님
Habsburg,n. 합스부르그, 독일 귀족집안의 이름
hacienda,n. 농원
hack,n. 마구 자르기; 짤막한 헛기침; 돈때문에 예술적 것을 행하는 사람 (삼류작가 등); 돈을 위해 무엇이든지 하는 사람; 늙은 말; 세놓는 말; 택시; 택시기사; v. 잘게 썰다, 정강이를 차다, 자르다, 짧은 헛기침을 하다, 빌려주다, 부려먹다, 세낸 말을 타다, 남의 밑에서 일하다, 말을 달리게 하다
hack hammer,메다듬 망치
hack writer,무명 문사
hackbut,n. 화숭총
hacking,adj. 컴퓨터 조작을 즐기기의; n. 컴퓨터 조작을 즐기기
hacking cough,자꾸만 나오는 헛기침
hackle,n. 목 둘레의 털; v. 잘게 썰다
hackly,adj. 거친
hackmatack,n. 아메리카 낙엽송
hackney,n. 승마용 말
hackney carriage,전세 마차
hackney coach,전세 마차
hackneyed,adj. 써서 낡아진
hacksaw,n. 활톱
hackwork,n. 판에 박은 듯한 단조로운 일
had better,...하는 편이 낫다
had rather,...하는 편이 낫다
haddock,n. 대구의 일종
hade,v. 언각을 이루다
Hades,n. 지하계, 명도, 명부; 지하계의 신, 플루토(그리스 신화); 망자들이 사는 곳(신약)
hadn't,n. 없었다, 하지 않았다, 다른 동사와 함께 사용되어 과거시제를 나타냄
haematic,adj. 혈액의
haematite,n. 적철광
haematologist,n. 혈액자
haematology,n. 혈액학
haematoma,n. 혈종
haemodialysis,n. 혈액 투석
haemoglobin,n. 혈색소
haemophilia,n. 혈우병
haemophiliac,n. 혈우병, 혈우병환자; adj. 혈우병의
haemophilic,adj. 혈우병의
haemorrhage,n. 출혈; v. 많은 피를 흘리다, 출혈하다
haemorrhagia,n. 출혈
haemorrhoid,n. 치질하
haemorrhoids,n. 치질
Hafez Assad,하페즈 아싸드(1928-2000) 시리아의 정치가이며 1971-2000동안 시리아의 대통령
hafnium,n. 하프늄
haft,n. 손잡이
hag,n. 추한 노파, 고약한 노파; 마녀할멈
Haggai,n. 하가이, 기원전 6세기동안의 유대의 예언자; 이예언자의 이름을 딴 구약의 일권
haggard,adj. 수척한, 초췌한
haggardly,adv. 초췌하게
haggish,adj. 마귀 할멈과 같은
haggle,v. 언쟁하다
haggler,n. 값을 깍으려고 졸라대는 사람, 흥정하는 사람
haggling,n. 언쟁하는
Hagiographa,n. 성자 언행록
hagiography,n. 성자 언행록
hagridden,adj. 악몽에 시달린, 괴로움을 받고 있는
Hague,n. 헤이그, 네덜란드의 서쪽에 있는 도시, 네덜란드의 행정적 수도
Hahashmonai,n. (히브리어) 기원전 1- 2세기의 유대 제사장의 하스모니아 가족의 일원
Haifa,n. 하이파, 이스라엘의 북부에 있는 도시
hail,n. 싸라기눈; 우박; 총알이 빗발치는 것; 환영; v. 싸라기 눈이 내리다; 우박이 쏟아지다, 빗발치듯 퍼붓다; 환영하다, 반기다; 장거리 전화를 하다
hail a cab,택시를 잡기 위해서 소리치다
hail fellow,친한
hail from,...으로부터 오다
hailing each other,n. 호응
hailstone,n. 우박, 싸라기눈
hailstorm,n. 마구 퍼붓는 우박, 마구 퍼붓는 싸라기눈
Hair,n. 헤어, 1960년대의 상반되는 문화와 사회문제를 다룬 브로드웨이연극 및 영화; n. 털
hair of the departed,n. 유발
hair oil,n. 머릿기름
hair on one's head,n. 머리털
hair raising,머리털이 곤두서는 듯한
hair shirt,거친 모직 셔츠
hair slide,머리 집게
hair spring,유사
hair trigger,촉발적인
hair's breadth,털끝만한 틈, 털끝만한 폭, 털끝만한 거리
hairbreadth,n. 털끝만한 틈, 털끝만한 폭, 털끝만한 거리, 매우 짧은 거리; adj. 털끝만한 틈의, 털끝만한 폭의, 털끝만한 거리의
hairbrush,n. 머리 빗는 솔
hairclip,n. 헤어핀
haircloth,n. 말 또는 낙타의 털을 씨실로 짠천, 마미단
haircut,n. 이발
haircutting,n. 머리를 자르고 손질하는 것
hairdo,n. 여성의 머리 치장, 머리손질
hairdresser,n. 이발사, 미용사
hairdressing,n. 이발, 미용, 머리손질하기
hairdressing salon,이발소
haired,adj. 어떤 특정한 형태로 머리를 한 (예, 긴머리를 한
hairiness,n. 털이 있음
hairless,adj. 머리카락이 없는
hairline,n. 털같이 가는 선
hairnet,n. 헤어네트
hairpiece,n. 헤어피스, 가발
hairpin,n. 머리 핀, 클립
hairpin bend,머리 핀의 자형으로 구부러진 것, 머리 핀의 자형으로 구부러진 길
hairpin turn,n. 머리 핀의 자형 커브
hairs of a horse's mane,n. 총
hairsplitting,n. 사소한 일을 꼬치꼬치 따지기; 궤변
hairstyle,n. 머리손질, 머리형태, 헤어스타일
hairstyling,n. 머리손질
hairstylist,n. 미용사
hairworm,n. 털처럼 가는 벌레
hairy,adj. 털이 많은; 털같은; 감당할 수 없는, 위험한 (속어)
hairy caterpillar,n. 모충
Haiti,n. 아이티 섬, 아이티
haitian,n. 아이티 섬 사람; adj. 아이티 섬의, 아이티 사람의
hake,n. 메르루사
hakim,n. 현인
halation,n. 헐레이션
halberd,n. 미늘창
halberdier,n. 미늘창을 가진 군사
halcyon,adj. 쇠새와 같은
halcyon days,n. 동지 전후의 날씨가 화창한 이주일
hale,adj. 건장한
half,n. 절반; 전반, 후반 (운동); 하프백(미식축구); adj. 절반의, 불충분한; adv. 절반만
half a mile,약 칠백오십미터
half a step,n. 반보
half a year,반년
half an hour,삼십분, 반시
half and half,같은 양으로
half awake,눈을 여는
half baked,설구워진; 불완전한
half binding,반혁 장정
half blood,이복형제, 부 형제, 이복자매, 부 자매
half boots,n. 반장화
half bred,잡종의
half breed,n. 혼혈아
half brother,이복 형제
half brothers,n. 이복형제
half caste,혼혈아
half cocked,안정단에 놓은
half dead,거의 죽게 되어 생사를 분간할 수 없는
half dollar,반 달러 은화, 오십센트 은화
half done,하다가 만, 반숙의
half educated,학교를 졸업하지 않은
half finished goods,n. 반제품
half hearted,냉담한
half heartedly,냉담하게
half holiday,반공일
half hose,반 양말
half length,반신
half length coat,외투
half light,어스름
half mal measure,n. 소두
half mast,반기의 위치에 달다
half measure,미봉책
half pay,봉급의 반
half pint,꼬마, 반 파인트
half point,n. 반점
half price,반액으로, 값으로
half round,반원, 반원형
half seas over,항로 중간의, 설취한
half sister,이복자매
half sisters,n. 이부자매
half sized tile,n. 단골
half sole,v. 새로 앞창을 대다
half time,반일 근무, 전반전(축구)>
half timer,규정 시간의 절반을 일하는 사람
half title,안 표지, 각 장의 제목
half track,무한 궤도식 군용차, 무한 탱크식 군용차
half truth,반쪽만의 진리
half turn,백팔십 도회전
half wit,얼빠진 놈, 멍청이
half witted,얼빠진
half word,반구
half year,이학기제의 학기
half yearly,반년마다
halfback,n. 중위
halfhearted,adj. 열정적이지 않은, 무관심한, 마음내키지 않는
halfheartedly,adv. 무관심하게, 마음내키지 않게, 열성적이지 않게
halfheartedness,n. 무관심, 열정의 부족
halfmoon,n. 반달
halfpenny,n. 반 페니(영국에서 이용되는)
halfpennyworth,adv. 극송량으로
halftone,n. 반음, 중간정도의 밝기(예술); 망판 인쇄술 (인쇄); 망판 인쇄술을 이용한 인쇄
halfway,adv. 중도에서
halibut,n. 넙치
halite,n. 암염
halitosis,n. 입내
hall,n. 복도, 현관, 홀; 회관 ( 파티나 연회 또는 집회에 사용되는)
hallel,n. 할렐
halleluiah,n. 할렐루야
halliard,n. 당김줄
hallmark,n. 은이나 금에 대한 순도 검증 각인(영국); 품질보증마크; 품질 보증
hallo,n. 안녕이라고 하는 소리; interj. 이봐요!, 안녕! ( 어떤 사람을 부를 때, 인사할 때 사용되는 말)
halloo,v. 큰소리를 쳐서 추기다
hallow,v. 신성한 것으로서 숭배하다
hallowed,adj. 거룩한, 신성한
Hallowmas,n. 만성절
hallucinate,v. 환각에 빠지게 하다, 환각을 일으키다
hallucination,n. 환각, 환상
hallucinogen,n. 환각제
hallucinogenic,adj. 환각을 일으키는, 환각성의
hallway,n. 현관
halm,n. 줄기
halo,n. 후광, 어떤 물체나 사람을 둘러싸는 빛
halogen,n. 할로겐
halt,n. 정지; 행진이나 여행에서의 휴식 또는 정지; v. 멈추다, 정지하다; 정지시키다, 중단시키다; 망설이게 하다, 불확실하다
halter,n. 고삐, 교수용 밧줄, 경마; n. 교수형
halting,adj. 절름발이의, 앞뒤가 맞지 않는
halve,v. 이등분하다, 반감시키다, 무승부로 하다, 같은 타수로 하다, 같은 타수로 시합을 하다
halving,n. 이등분, 서로 잇기
halyard,n. 당김줄, 핼리어드
ham,n. 햄; 형편없는 배우; 아마츄어 무선 작동자
ham actor,n. 함류 배우
ham sandwiches,n. 햄샌드위치
Hamburg,n. 함부르그, 독일 북부에 있는 주; 함부르그 주의 수도며 항구도시; n. 햄버거
hamburger,n. 햄버거
hamfisted,adj. 손재주 없는
Hamilton,n. 해밀턴, 알렉산더 해밀터(1757-1804), 미국의 정치가, 연방주의자 당의 지도자; 성
Hamitic,n. 아프리카 아시아 어족에서 비셈족어의 언어( 주로 북부와 동부 아프리카지역의 언어)
Hamlet,n. 햄릿, 세익스피어의 비극; 이 비극의 주인공인 덴마크 왕자의 이름
hammer,n. 망치; v. 망치로 치다, 망치로 두들기다; 강요적으로 설득시키다, 강하게 논쟁하다; 패배시키다, 이기다
hammer and tongs,맹렬하게
hammer in,...을 박다
hammer throwing,해머던지기
hammerblow,adj. 망치로 치기의, 맹타의
hammerer,n. 해머사
hammerhead,n. 해머의 머리, 귀상어
hammering,n. 망치로 침, 망치로 치는 소리
Hammersmith,n. 해머를 쓰는 직공
hammock,n. 그물침대
hammock chair,캔바스로 만든 접는 의자
hamper,n. 뚜껑있는 광주리(빨래 바구니 등); v. 방해하다, 훼방하다, 지연시키다
hamshackle,v. 머리를 앞다리에 묶다
hamster,n. 유럽과 아시아가 원산지인 작고 짧은 꼬리가 있는 쥐
hamstring,n. 무릎의 건; v. 건을 끊어서 절름발이로 만들다
Hancock,n. 행콕, 존 행콕(1737-93), 미국의 정치가, 독립선언문의 최초 서명자; 성
hand,n. 손; 필치, 서법; 시계바늘; 카드놀이에서 패; 원조, 도움; 기술, 솜씨, 능력; 쪽, ...편; 박수 갈채; 일손; 승무원; 4인치에 달하는 길이 단위; v. 건네주다, 주다; 도움을 주다; adj. 손의
hand back,돌려주다
hand barrow,손잡이가 넷 있는 운반 기구
hand down,내려 주다, 유산으로 남기다
hand glass,손거울
hand grenade,수류탄
hand in,수교하다
hand knit,손으로 뜨다
hand knitted,손으로 뜨는
hand me down,물림
hand mill,영 맷돌
hand mirror,n. 손거울
hand operated,손으로 행동하는
hand out,n. 나눠주다
hand over,수교하다, 인도하다, 건네다, 물리다
hand play,주먹다짐
hand printing,n. 수쇄
hand to hand,육박전의
hand to hand fighting,접전
handbag,n. 핸드백, 여자들의 손가방
handball,n. 핸드볼; 핸드볼용의 공
handbell,n. 종
handbill,n. 전단
handbook,n. 편람, 안내서
handbrake,n. 수동 브레이크
handcar,n. 수동차
handcart,n. 손수레
handclap,n. 박수, 박수치기
handcuff,n. 수갑; v. 수갑을 채우다, 수갑을 채워 구속하다
handcuffed,adj. ...에게 수갑을 채우는
handed,adj. 손이 있는; 게임에 몇명이 참여하는
handedness,n. 한손을 다른 손보다 많이 쓰는 경향
handful,n. 한 움큼, 한 줌; 다루기 어려운 사람(속어); adj. 한줌의, 한줌 가득의
handgrip,n. 악수, 손잡이
handgun,n. 권총
handheld,n. 손에 들고 다닐 수 있는 모든 작은 물건들( 카메라, 컴퓨터 등등)
handhold,n. 손으로 쥐기
handicap,n. 불리한 점; 신체적 장애; v. 제한하다, 불가능하게 하다, 억제하다, 방어하다
handicapped,adj. 신체적 장애가 있는; 불리한, 제한된
handicraft,n. 손재주; 수공예; 수제품
handicraftsman,n. 수세공인
handiwork,n. 수공예품; 수제품
handkerchief,n. 손수건
handle,n. 핸들, 기회, 직함; v. 손으로 느끼다, 손으로 대다; 다루다, 취급하다; 거래하다, 장사하다; 대하다
handle bar,n. 핸들
handle of a plow,n. 자부지
handle of a spade with pull ropes,n. 장부
handle with care,v. 손질하다
handlebars,n. 오토바이나 자전거의 휘어진 운전대
handler,n. 손을 쓰는 사람, 매니저
handling,n. 다룸; 손질
handlist,n. 간단한 리스트
handloom,n. 손으로 조작 되는 베틀
handmade,adj. 손으로 만든
handout,n. 주는 물건, 핸드 아웃
handover,n. 이양
handpick,v. 손으로 따다
handpicked,adj. 손으로 딴
handrail,n. 난간
hands,n. 일군, 소유
hands off,손을 대지 마라
hands up,손들어
handsaw,n. 톱
handsel,v. ...에게 개업 축하 선물을 하다, 마수걸다, 개업축하로 선물을 보내다, 처음으로 시작하다, 처음으로 시험하다
handset,n. 수화기와 송화기가 따로따로 된 전화
